List;Item;Order;Target;Sentence;CritWord;LSA to correct;
1;1;verb-final;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, omdat hij een appeltje voor de dorst had ongetwijfeld.;dorst;NA;
3;1;verb-final;literal;Menno leek niet bang voor geldproblemen na zijn pensioen, omdat hij een appeltje voor de honger had ongetwijfeld.;honger;0,44;
5;1;verb-final;unrelated;Menno leek niet bang voor geldproblemen na zijn pensioen, omdat hij een appeltje voor de grens had ongetwijfeld.;grens;0,07;
1;2;verb-final;correct;Niels merkte dat hij de auditie erg spannend vond, omdat zijn hart in zijn keel klopte voor die tijd.;keel;NA;
3;2;verb-final;literal;Niels merkte dat hij de auditie erg spannend vond, omdat zijn hart in zijn nek klopte voor die tijd.;nek;0,44;
5;2;verb-final;unrelated;Niels merkte dat hij de auditie erg spannend vond, omdat zijn hart in zijn rang klopte voor die tijd.;rang;0,06;
1;3;verb-final;correct;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn benen afdroop na het gesprek.;benen;NA;
3;3;verb-final;literal;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn heupen afdroop na het gesprek.;heupen;0,54;
5;3;verb-final;unrelated;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn goden afdroop na het gesprek.;goden;0,03;
1;4;verb-final;correct;Al snel kon Lars zijn internetbedrijf uitbreiden, omdat het hem voor de wind ging dat jaar.;wind;NA;
3;4;verb-final;literal;Al snel kon Lars zijn internetbedrijf uitbreiden, omdat het hem voor de storm ging dat jaar.;storm;0,76;
5;4;verb-final;unrelated;Al snel kon Lars zijn internetbedrijf uitbreiden, omdat het hem voor de druif ging dat jaar.;druif;0,04;
1;5;verb-final;correct;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, omdat hij een bord voor zijn kop had blijkbaar.;kop;NA;
3;5;verb-final;literal;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, omdat hij een bord voor zijn munt had blijkbaar.;munt;0,14;
5;5;verb-final;unrelated;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, omdat hij een bord voor zijn sap had blijkbaar.;sap;0,07;
1;6;verb-final;correct;Jorik haatte Mariekes gemene opmerkingen, omdat hij door de grond ging tegenover zijn klasgenoten.;grond;NA;
3;6;verb-final;literal;Jorik haatte Mariekes gemene opmerkingen, omdat hij door de aarde ging tegenover zijn klasgenoten.;aarde;0,26;
5;6;verb-final;unrelated;Jorik haatte Mariekes gemene opmerkingen, omdat hij door de thee ging tegenover zijn klasgenoten.;thee;0,08;
1;7;verb-final;correct;De verpleegster had medelijden met de kermende patiënt, omdat hij door een hel ging na die kaakoperatie.;hel;NA;
3;7;verb-final;literal;De verpleegster had medelijden met de kermende patiënt, omdat hij door een duivel ging na die kaakoperatie.;duivel;0,63;
5;7;verb-final;unrelated;De verpleegster had medelijden met de kermende patiënt, omdat hij door een tas ging na die kaakoperatie.;tas;0,20;
1;8;verb-final;correct;Linda probeerde haar woedende broer te kalmeren, omdat hij door het lint ging tegen de portier.;lint;NA;
3;8;verb-final;literal;Linda probeerde haar woedende broer te kalmeren, omdat hij door het koord ging tegen de portier.;koord;0,23;
5;8;verb-final;unrelated;Linda probeerde haar woedende broer te kalmeren, omdat hij door het feest ging tegen de portier.;feest;0,03;
1;9;verb-final;correct;Sandra werd door de chirurg onder narcose gebracht, omdat ze onder het mes ging zometeen.;mes;NA;
3;9;verb-final;literal;Sandra werd door de chirurg onder narcose gebracht, omdat ze onder het bord ging zometeen.;bord;0,23;
5;9;verb-final;unrelated;Sandra werd door de chirurg onder narcose gebracht, omdat ze onder het paard ging zometeen.;paard;0,11;
1;10;verb-final;correct;Het slachthuis was niet blij met de geheime videobeelden, omdat ze op hun smoel gingen voor de inspectie.;smoel;NA;
